path	before	after	webp	saved
public/vendor-ui/gemini/overview.png	6615235	848406	70460	5766829
public/vendor-ui/gemini/social-share.png	6615235	848406	70460	5766829
public/vendor-ui/square-online/desktop-hero.png	5692374	2093560	74252	3598814
public/vendor-ui/cursor/asset-cc24ca462279ca23250c.jpg	3332043	345305	92596	2986738
public/vendor-ui/cursor/overview.png	3332043	345305	92596	2986738
public/vendor-ui/prestashop/og-home.jpg	3299693	305035	95130	2994658
public/vendor-ui/five9/homepage-video.png	2894307	2300273	96534	594034
public/vendor-ui/shopify/og-storefront.png	2731077	1386166	76894	1344911
public/vendor-ui/activecampaign/lead-scoring.png	2414825	2414825	155700	0
public/vendor-ui/gemini/gemini-3-7-flash.png	2412291	1746264	21116	666027
public/vendor-ui/gemini/omni-hero.png	2270116	1046234	83686	1223882
public/vendor-ui/airtable/campaigns.png	2054163	2054163	84618	0
public/vendor-ui/shopware/homepage-og.png	1929069	1238310	35176	690759
public/vendor-ui/activecampaign/landing-pages.png	1851237	1851237	136550	0
public/vendor-ui/activecampaign/analytics.png	1779848	1779848	49962	0
public/vendor-ui/square-online/keep-track.png	1766307	1766307	109484	0
public/vendor-ui/activecampaign/custom-objects.png	1750939	1750939	145414	0
public/vendor-ui/activecampaign/forms.png	1745291	1745291	92208	0
public/vendor-ui/fastmail/ui.png	1711615	1494273	158208	217342
public/vendor-ui/activecampaign/crm-pipelines.png	1646897	1646897	58206	0
public/vendor-ui/attio/import.png	1579869	549088	93860	1030781
public/vendor-ui/freshmarketer/analytics.png	1558378	858546	94706	699832
public/vendor-ui/insightly/ai.png	1530838	1530838	147954	0
public/vendor-ui/bigcommerce/channels.png	1489902	1489902	73886	0
public/vendor-ui/cursor/cursor-wallpaper.png	1457185	1457185	76902	0
public/vendor-ui/activecampaign/crm-workflow.png	1426471	1426471	65272	0
public/vendor-ui/activecampaign/campaign-builder.png	1356898	1356898	71358	0
public/vendor-ui/bigcommerce/dashboard-collage.png	1342787	1342787	104726	0
public/vendor-ui/freshmarketer/homepage.png	1319588	1262502	100448	57086
public/vendor-ui/dialpad/detail.png	1304181	868462	412096	435719
public/vendor-ui/linear/issues.png	1294336	752607	35380	541729
public/vendor-ui/pipedrive/automations.png	1265880	1265880	106036	0
public/vendor-ui/wrike/productivity.png	1241122	1241122	90310	0
public/vendor-ui/attio/dashboard.png	1230102	382442	55258	847660
public/vendor-ui/pipedrive/ai-assistant.png	1212205	1212205	97436	0
public/vendor-ui/activecampaign/analytics-ai.png	1191124	1086902	48756	104222
public/vendor-ui/salesflare/hero.png	1121963	1121963	387644	0
public/vendor-ui/wrike/project-management.png	1060865	1060865	33438	0
public/vendor-ui/mailchimp/homepage.png	1058162	1058162	66578	0
public/vendor-ui/dynamics-365/opportunity.png	1028061	1028061	97698	0
public/vendor-ui/square-online/connect.png	1027796	1027796	66768	0
public/vendor-ui/dynamics-365/product-view.png	1022449	1022449	85370	0
public/vendor-ui/wegic/overview.png	1012147	417053	39884	595094
public/vendor-ui/wegic/wegic-large-preview.png	1012147	417053	39884	595094
public/vendor-ui/firehydrant/overview.png	1011114	1011114	24492	0
public/vendor-ui/campaign-monitor/homepage.png	978435	502685	35658	475750
public/vendor-ui/kartra/homepage.png	972945	972945	62568	0
public/vendor-ui/monday-sales-crm/board.png	969526	969526	68076	0
public/vendor-ui/inboxally/features-hero.png	965586	965586	79298	0
public/vendor-ui/bigcommerce/payments.jpg	959614	457588	131020	502026
public/vendor-ui/pipedrive/mobile.png	955102	955102	47156	0
